beta,weight,ElnfX
0.005300,0.027152,-469532.5938
0.027712,0.062254,-461703.1014
0.067184,0.095159,-456617.9259
0.122298,0.124629,-454553.6639
0.191062,0.149596,-453346.0866
0.270992,0.169157,-452589.1259
0.359198,0.182603,-452084.7507
0.452494,0.189451,-451753.3547
0.547506,0.189451,-451534.3674
0.640802,0.182603,-451385.1848
0.729008,0.169157,-451273.5918
0.808938,0.149596,-451205.2987
0.877702,0.124629,-451152.7578
0.932816,0.095159,-451099.3107
0.972288,0.062254,-451074.2658
0.994700,0.027152,-451082.9501
